iteration.end	Min.end	ED50.end	Threshold_RH.end	virulence.end	cadaver_longevity.end	sporu_cada_longevity.end	infected_immigrants.end	LTimmigrants.end	LTAdult.end	LTNymph.end	immunity_cost.end	d_cadaver.sum	density.sum
NA												NA	NA
261	13	777	86	0.49308	69	205	0.273655	76	171	63	0.487506	2.60173	798.695
262	10	816	94	0.811191	76	235	0.471104	37	144	133	0.0975659	8.01403e-14	983.268
263	16	782	90	0.84302	64	101	0.324683	34	103	94	0.425952	0.395883	948.488
264	23	826	73	0.653433	57	155	0.269206	94	95	174	0.183904	5.05609	1689.57
265	22	799	94	0.708873	61	180	0.678993	98	177	68	0.169375	0.00299841	1546.93
266	21	809	91	0.945056	114	185	0.142703	73	178	171	0.306677	0.513918	1559.87
267	19	810	76	0.894837	81	65	0.166661	95	148	178	0.551536	1.5629	1300.57
268	17	795	89	0.424739	113	106	0.277521	96	155	78	0.132317	1.83159	1152.91
269	20	773	93	0.610064	96	63	0.513852	69	140	97	0.08625	0.268414	1115.31
270	23	837	83	0.825991	127	146	0.182854	48	88	89	0.489499	5.21765	1711.66
271	15	761	77	0.736447	82	42	0.581076	98	179	115	0.409061	0.965199	890.615
272	17	780	71	0.919121	85	180	0.541812	31	131	176	0.680417	11.304	759.485
273	18	810	72	0.804	85	152	0.638729	77	172	72	0.364909	8.36542	1193.46
274	11	763	77	0.664461	103	248	0.288937	51	96	104	0.496473	10.7637	718.662
275	18	768	92	0.707404	109	160	0.647927	61	137	100	0.56787	0.772324	998.572
276	19	789	81	0.715152	128	224	0.506832	48	141	61	0.0924421	9.3183	1092.49
277	16	804	92	0.666447	61	41	0.209026	97	143	116	0.0388485	0.0122114	1205.93
278	18	817	76	0.690613	87	188	0.284068	54	82	109	0.283291	8.63707	1248.17
279	14	839	79	0.768618	84	179	0.315284	62	138	89	0.121722	4.84719	1143.91
280	12	759	84	0.86554	64	40	0.395744	43	137	90	0.204712	0.795894	705.943
281	14	791	93	0.332986	65	241	0.606714	82	103	152	0.118516	0.00954895	969.077
282	19	808	85	0.230317	99	210	0.112909	47	170	135	0.609416	3.00958	1342.73
283	24	769	85	0.949988	77	124	0.196323	70	124	76	0.0430137	4.7903	1149.25
284	24	810	83	0.684887	98	117	0.549788	87	65	171	0.103594	3.80197	1749.28
285	20	794	92	0.229445	95	94	0.579831	78	112	105	0.312843	0.423824	1364.97
286	23	828	84	0.254339	129	171	0.406577	63	135	113	0.640986	5.02611	1973.82
287	23	800	88	0.641872	63	207	0.103449	55	83	67	0.0748088	3.87593	1603.32
288	14	813	74	0.513664	119	210	0.66573	52	145	162	0.542724	7.41502	1114.69
289	25	765	85	0.439928	128	44	0.591652	65	151	134	0.223404	1.45539	1632.46
290	20	757	81	0.318194	82	176	0.487418	46	114	94	0.397301	4.84044	868.507
291	23	750	80	0.275748	94	131	0.23045	82	150	128	0.561311	3.28073	1124.44
292	14	815	70	0.386063	71	199	0.345979	34	125	164	0.318944	6.07128	1068.79
293	16	814	82	0.218968	113	143	0.319146	33	111	129	0.519977	3.055	1213.02
294	25	791	79	0.681432	67	157	0.533052	46	166	169	0.384341	7.13845	1372.01
295	13	769	88	0.635677	110	93	0.144269	99	143	179	0.210766	1.19671	872.806
296	12	771	82	0.668609	98	228	0.241192	47	90	78	0.114243	4.79002	745.706
297	26	817	72	0.927109	74	242	0.255125	67	98	155	0.35535	31.56	1697.94
298	11	783	77	0.785322	90	142	0.694532	53	119	89	0.601633	5.7514	785.804
299	20	763	78	0.404115	105	115	0.497043	44	144	112	0.341142	4.31197	974.204
300	18	747	85	0.61846	66	105	0.448299	86	175	141	0.131717	1.88058	780.618
301	23	800	89	0.542305	91	240	0.667823	42	156	90	0.728398	8.67352	1646.67
302	13	798	83	0.600374	116	82	0.100543	68	115	132	0.249318	1.02536	983.756
303	24	795	80	0.302219	119	80	0.500232	90	117	75	0.333613	2.51157	1590.92
304	19	785	83	0.450173	60	153	0.595168	78	140	86	0.57044	3.06431	1108.72
305	21	784	92	0.792853	65	168	0.427365	58	94	108	0.201948	1.0555	1233.41
306	18	833	75	0.643613	82	134	0.129411	84	155	111	0.304209	3.16959	1536.21
307	17	775	90	0.436652	62	168	0.647055	87	109	74	0.659261	0.391157	946.206
308	15	767	92	0.887955	113	89	0.354936	83	80	158	0.509358	0.12611	834.86
309	16	772	90	0.689127	56	81	0.699145	59	68	61	0.382322	0.341855	913.783
310	19	791	82	0.755901	123	79	0.349576	65	142	74	0.389875	2.48198	1143.66
311	12	750	76	0.782887	79	239	0.293533	64	151	60	0.678363	10.1242	727.451
